15,9.8,22,0.001,6.4,4.4,1.8,9.9,45,74.3,11.9,17.5,10.2,960
13.2,8.1,19.3,0.001,6.1,4.3,1.6,8.6,41,77,11.8,18.1,8,960
11.3,2.2,21.6,0.001,4.9,3.8,1,3,20,64.1,11.7,15.3,2.3,1020
14.1,7.2,21.2,0.001,5.3,3.4,0.9,7.9,29,70.8,11.7,15.1,5.7,1020
9.8,4.3,16.7,0.001,5.6,4.2,1.2,5.4,41,77,11.5,14.7,3.7,980
10.8,2.6,19,0.001,4.9,3.7,1,6,39,75.8,11.5,13.4,1.8,960
10.6,4.7,18.1,0.001,8.5,4.8,1.3,7.4,47,81.4,11.5,12.6,3.3,980
9,3.9,13.5,0.1,6,4.4,1.6,6.3,57,84.3,11.4,13,1.9,940
10.2,3.8,19.4,0.001,5.3,3.9,1,2.3,25,65.8,11.4,14.4,4.4,920
8.2,2.1,15.5,0.001,7.5,5.2,1.5,0.001,20,61.6,11.3,11.5,0.3,920
11.8,3.6,20.3,0.001,6.6,4.4,1.8,5.4,31,68.6,11.2,13.1,1.4,910
10.3,4.8,15,5,10.9,5.9,2.8,3.4,37,64.4,11.2,12.3,1.9,890
6.4,-1.5,15,0.001,6.7,4.8,1.4,-2.7,25,55.3,11.1,8.4,-1.6,930
10.2,4.2,17,0.001,6.8,3.4,1.5,-0.8,21,50.5,11.1,10.3,2,930
11.3,7.2,16.2,25,17.1,9.8,3.7,6.6,38,74,11,10,4.1,930
6.5,2.7,11.6,0.001,12.9,6.7,2.2,-3,29,52.6,11,8.4,0.1,950
9.5,5.2,13.9,0.001,6.3,4.2,2.2,2.5,43,62.9,10.9,9,1.8,970
9.8,3.8,17.3,0.001,7.2,3.5,1.1,4.5,44,71.8,10.9,9.1,-0.1,970
9.7,3.2,18.2,0.001,5.7,4.3,1,5.6,36,79.3,10.9,9.7,-2.5,970
8.1,1.9,15,0.001,5.2,3.9,1.1,3.6,45,76.1,10.8,8.1,-3.5,970
5.7,1.8,9.6,0.001,9.2,5,2.2,0.4,39,70.5,10.7,8.4,-2.6,940
4.1,-0.4,9.1,0.001,5.6,3.4,1.4,-5.1,16,56.9,10.7,6.7,-4,940
2.1,-2.2,6.7,0.001,8.1,4.4,1.8,-7.2,30,51.3,10.6,3.8,-7.4,850
1.6,-4.5,10.8,0.001,5.8,4.4,1,-5.8,25,62.8,10.6,3.2,-9,800
7.7,4.7,10.5,5,7.7,4.2,1.8,3.5,51,76.5,10.5,7.9,0.6,780
4.3,3.1,8.4,1,6.4,3.8,1.7,1.1,61,80,10.5,5.9,-1.3,780
4.6,0.8,8.5,0.001,7.7,3.8,1.9,-0.9,51,67.8,10.4,4.1,-3.1,780
5.9,2,8.8,0.001,8.6,3.8,1.9,0.1,44,66.8,10.4,4.1,-2.6,770
5.2,-2.1,11.9,0.1,6.6,4.7,1.5,1.7,47,80.3,10.4,4.5,-6.2,810
3.9,2.2,5.3,0.5,14.6,7,4.6,-1.3,54,69.4,10.3,3.3,-0.1,760
1.6,-0.9,4,1.5,12.2,5.5,3.3,-3.5,51,69.1,10.3,2.5,-2.6,760
-0.5,-3,3.9,0.001,9.3,4.4,2.2,-8.5,36,55.6,10.2,1.6,-4.7,755
0.2,-3.9,5.9,0.001,6.7,4.1,1.4,-5,45,69.1,10.2,1.1,-7.4,760
4.5,-2.2,7.9,2,11.5,5.2,2.6,-2.7,31,61.4,10.2,1.5,-6,750
1.4,-1.8,4.5,0.4,10.3,4.4,2.3,-5.9,30,59.5,10.1,0.5,-5.7,750
-0.5,-4.9,6,0.001,5.8,3.8,1.4,-10.2,21,50.6,10.1,-0.7,-9,750
0.001,-7.7,8.7,0.001,7.4,4.8,1.2,-10,15,53.9,10,-1.5,-11.2,750
3.4,-3,10.6,0.001,4.7,3.2,0.9,-3.7,33,62.1,10,0.9,-7.3,750
2.7,0.4,6.2,0.2,6.2,4.4,2,-0.4,56,80.8,10,3,-0.1,760
-0.5,-5,3,0.3,11.1,5,1.9,-9.2,28,54.9,9.9,0.9,-9.4,760
-2.2,-6.2,3.7,0.001,6.8,4.9,1.8,-18.8,12,28.6,9.9,-2.5,-11.5,760
2.7,-2.2,6.4,1,13.1,6.7,4.2,-3.9,48,61.8,9.9,-0.1,-8.5,750
-1.1,-5.3,4.6,0.001,5.6,2.9,1,-11.3,19,47.6,9.8,-0.9,-9.6,750
-1.1,-6.3,5,0.001,7.6,3.8,1.3,-11.8,23,46.8,9.8,-1.2,-10.1,730
-1.2,-6.4,4.7,3.5,12.2,6.2,2.7,-5.8,35,73.3,9.8,-1.1,-9.5,720
-5.6,-7.9,-2.5,0.001,15.7,6.2,2.9,-16.9,28,41.1,9.8,-0.2,-10.1,720
-4.3,-7.8,1.4,3,10.9,6,2.7,-13.5,33,50.6,9.7,-0.5,-9.5,720
-8.9,-12.3,-5.3,0.001,11.8,5.2,2.6,-19.7,23,42.6,9.7,-0.2,-5,800
-5.9,-11.8,-1.8,5.5,7.3,4.5,1.8,-9.3,41,77,9.7,-0.3,-6.4,810
-10,-15.2,-3.9,0.001,6.7,4,1.6,-17.9,28,54.6,9.7,-0.2,-4.9,850
-10.1,-17.8,0.3,0.001,5,3.2,0.8,-17.5,22,60.1,9.7,-0.4,-5.7,890
-8.2,-15.8,2.9,0.001,5.5,2.6,0.6,-16.9,14,57.9,9.7,-0.5,-13.4,930
-3.4,-13.7,5.4,0.001,6.7,4.5,1.4,-17.3,12,42.9,9.6,-0.5,-13.5,920
-0.1,-1.9,2.7,25.5,3.3,2.2,0.4,-3.1,18,81.8,9.6,-0.1,-4.8,900
-0.2,-4.1,5.9,0.001,7.2,4.2,1.5,-5.5,24,68.9,9.6,0.2,-0.4,860
-7,-11.9,-1.5,0.001,5.4,3.4,1.5,-14.6,23,56.9,9.6,0.2,-1.4,860
-4.3,-10.7,3.2,0.001,5.9,3.1,1.3,-16.3,19,41.4,9.6,-0.2,-2.1,760
-0.9,-7.2,3.8,0.3,5.7,3.8,0.9,-3.7,67,81.8,9.6,-0.1,-1.6,750
